XCoord,YCoord,OID,FIELD1,START_STAT,START_ST_1
-73.96408963,40.70853074,14554,14554,40.708531,-73.964090
-73.96596410,40.68317813,14581,14581,40.683178,-73.965964
-73.99548059,40.70037867,14590,14590,40.700379,-73.995481
-73.96596410,40.68317813,14612,14612,40.683178,-73.965964
-73.96596410,40.68317813,14651,14651,40.683178,-73.965964
-73.96408963,40.70853074,14652,14652,40.708531,-73.964090
-73.98912867,40.68926942,14683,14683,40.689269,-73.989129
-73.96087600,40.71045100,14707,14707,40.710451,-73.960876
-73.96596410,40.68317813,14732,14732,40.683178,-73.965964
-73.97632328,40.68382604,14791,14791,40.683826,-73.976323
-73.97632328,40.68382604,14792,14792,40.683826,-73.976323
-73.98963911,40.69246277,14876,14876,40.692463,-73.989639
-73.96476280,40.68851534,14924,14924,40.688515,-73.964763
-73.96087600,40.71045100,14943,14943,40.710451,-73.960876
-73.98912867,40.68926942,14970,14970,40.689269,-73.989129
-73.98362464,40.69474881,14981,14981,40.694749,-73.983625
-73.97372989,40.69178232,15042,15042,40.691782,-73.973730
-73.96024116,40.71534825,15068,15068,40.715348,-73.960241
-73.96476280,40.68851534,15178,15178,40.688515,-73.964763
-73.96408963,40.70853074,15187,15187,40.708531,-73.964090
-73.98362464,40.69474881,15211,15211,40.694749,-73.983625
-73.96563307,40.68650065,15250,15250,40.686501,-73.965633
-73.96596410,40.68317813,15266,15266,40.683178,-73.965964
-73.96986848,40.69794000,15367,15367,40.697940,-73.969868
-73.97703874,40.69327018,15385,15385,40.693270,-73.977039
-73.96986848,40.69794000,15466,15466,40.697940,-73.969868
-73.96087600,40.71045100,15560,15560,40.710451,-73.960876
-73.96087600,40.71045100,15617,15617,40.710451,-73.960876
-73.95381995,40.69331716,15666,15666,40.693317,-73.953820
-73.95643107,40.69064950,15734,15734,40.690649,-73.956431
-73.96596410,40.68317813,15828,15828,40.683178,-73.965964
-73.97372989,40.69178232,15847,15847,40.691782,-73.973730
-73.98963911,40.69246277,16140,16140,40.692463,-73.989639
-73.97493121,40.68981035,16213,16213,40.689810,-73.974931
-73.98963911,40.69246277,16327,16327,40.692463,-73.989639
-73.98362464,40.69474881,16406,16406,40.694749,-73.983625
-73.98912867,40.68926942,16409,16409,40.689269,-73.989129
-73.98912867,40.68926942,16497,16497,40.689269,-73.989129
-73.98912867,40.68926942,16513,16513,40.689269,-73.989129
-73.98362464,40.69474881,16514,16514,40.694749,-73.983625
-73.96563307,40.68650065,16536,16536,40.686501,-73.965633
-73.97992700,40.69977300,16605,16605,40.699773,-73.979927
-73.98963911,40.69246277,16689,16689,40.692463,-73.989639
-73.95381995,40.69331716,16783,16783,40.693317,-73.953820
-73.98963911,40.69246277,16849,16849,40.692463,-73.989639
-73.98963911,40.69246277,17045,17045,40.692463,-73.989639
-73.96024116,40.71534825,17112,17112,40.715348,-73.960241
-73.96476280,40.68851534,17121,17121,40.688515,-73.964763
-73.96476280,40.68851534,17218,17218,40.688515,-73.964763
-73.97100056,40.70531194,17361,17361,40.705312,-73.971001
-73.96023854,40.68900443,17572,17572,40.689004,-73.960239
-73.98963911,40.69246277,17608,17608,40.692463,-73.989639
-73.98963911,40.69246277,17629,17629,40.692463,-73.989639
-73.97632328,40.68382604,17781,17781,40.683826,-73.976323
-73.98963911,40.69246277,17785,17785,40.692463,-73.989639
-73.98963911,40.69246277,17855,17855,40.692463,-73.989639
-73.98963911,40.69246277,17972,17972,40.692463,-73.989639
-73.96986848,40.69794000,18138,18138,40.697940,-73.969868
-73.97100056,40.70531194,18520,18520,40.705312,-73.971001
-73.98912867,40.68926942,18571,18571,40.689269,-73.989129
-73.98362464,40.69474881,18604,18604,40.694749,-73.983625
-73.96087600,40.71045100,18635,18635,40.710451,-73.960876
-73.96023854,40.68900443,18638,18638,40.689004,-73.960239
-73.96476280,40.68851534,18658,18658,40.688515,-73.964763
-73.97632328,40.68382604,18764,18764,40.683826,-73.976323
-73.96986848,40.69794000,18814,18814,40.697940,-73.969868
-73.98963911,40.69246277,18929,18929,40.692463,-73.989639
-73.97493121,40.68981035,19229,19229,40.689810,-73.974931
-73.97100056,40.70531194,19348,19348,40.705312,-73.971001
-73.96023854,40.68900443,19554,19554,40.689004,-73.960239
-73.98362464,40.69474881,19574,19574,40.694749,-73.983625
-73.98362464,40.69474881,19584,19584,40.694749,-73.983625
-73.96476280,40.68851534,19707,19707,40.688515,-73.964763
-73.97632328,40.68382604,19714,19714,40.683826,-73.976323
-73.96024116,40.71534825,19777,19777,40.715348,-73.960241
-73.98362464,40.69474881,19841,19841,40.694749,-73.983625
-73.97632328,40.68382604,19872,19872,40.683826,-73.976323
-73.98912867,40.68926942,19952,19952,40.689269,-73.989129
-73.97703874,40.69327018,20038,20038,40.693270,-73.977039
-73.98362464,40.69474881,20276,20276,40.694749,-73.983625
-73.98912867,40.68926942,20292,20292,40.689269,-73.989129
-73.98963911,40.69246277,20298,20298,40.692463,-73.989639
-73.98963911,40.69246277,20324,20324,40.692463,-73.989639
-73.98963911,40.69246277,20336,20336,40.692463,-73.989639
-73.97632328,40.68382604,20352,20352,40.683826,-73.976323
-73.98912867,40.68926942,20370,20370,40.689269,-73.989129
-73.98912867,40.68926942,20381,20381,40.689269,-73.989129
-73.96834101,40.70827295,20475,20475,40.708273,-73.968341
-73.98963911,40.69246277,20496,20496,40.692463,-73.989639
-73.98963911,40.69246277,20583,20583,40.692463,-73.989639
-73.97372989,40.69178232,20588,20588,40.691782,-73.973730
-73.98912867,40.68926942,20593,20593,40.689269,-73.989129
-73.95381995,40.69331716,20637,20637,40.693317,-73.953820
-73.98362464,40.69474881,20640,20640,40.694749,-73.983625
-73.98912867,40.68926942,20801,20801,40.689269,-73.989129
-73.96087600,40.71045100,20808,20808,40.710451,-73.960876
-73.98963911,40.69246277,21008,21008,40.692463,-73.989639
-73.97493121,40.68981035,21056,21056,40.689810,-73.974931
-73.96596410,40.68317813,21069,21069,40.683178,-73.965964
-73.98963911,40.69246277,21081,21081,40.692463,-73.989639
-73.96024116,40.71534825,21158,21158,40.715348,-73.960241
-73.95381995,40.69331716,21337,21337,40.693317,-73.953820
-73.96596410,40.68317813,21402,21402,40.683178,-73.965964
-73.96596410,40.68317813,21475,21475,40.683178,-73.965964
-73.98068914,40.69839895,21609,21609,40.698399,-73.980689
-73.96476280,40.68851534,21679,21679,40.688515,-73.964763
-73.98963911,40.69246277,21747,21747,40.692463,-73.989639
-73.96986848,40.69794000,21786,21786,40.697940,-73.969868
-73.98068914,40.69839895,21884,21884,40.698399,-73.980689
-73.96563307,40.68650065,21998,21998,40.686501,-73.965633
-73.98362464,40.69474881,22024,22024,40.694749,-73.983625
-73.97493121,40.68981035,22190,22190,40.689810,-73.974931
-73.98963911,40.69246277,22213,22213,40.692463,-73.989639
-73.96596410,40.68317813,22219,22219,40.683178,-73.965964
-73.98362464,40.69474881,22387,22387,40.694749,-73.983625
-73.96596410,40.68317813,22429,22429,40.683178,-73.965964
-73.96087600,40.71045100,22513,22513,40.710451,-73.960876
-73.97632328,40.68382604,22592,22592,40.683826,-73.976323
-73.96563307,40.68650065,22661,22661,40.686501,-73.965633
-73.98912867,40.68926942,22750,22750,40.689269,-73.989129
-73.98912867,40.68926942,22802,22802,40.689269,-73.989129
-73.96986848,40.69794000,22953,22953,40.697940,-73.969868
-73.96408963,40.70853074,23146,23146,40.708531,-73.964090
-73.96476280,40.68851534,23159,23159,40.688515,-73.964763
-73.96087600,40.71045100,23241,23241,40.710451,-73.960876
-73.95643107,40.69064950,23269,23269,40.690649,-73.956431
-73.98963911,40.69246277,23314,23314,40.692463,-73.989639
-73.96834101,40.70827295,23363,23363,40.708273,-73.968341
-73.97703874,40.69327018,23370,23370,40.693270,-73.977039
